experiment_id,total_cost,is_steady,steady_start_time,elapsed_time,ReactorTempSP,ReactorPressSP,ProductionSP,revenue,total_cost_profit,profit
1,87.60408845830374,True,29.5,187.7358512878418,121.9269450537184,2767.80560780124,22.814140208008865,7355.724129795408,121.71319802576768,7234.010931769641
2,88.20454518709998,True,29.55,201.4132843017578,123.54736852558418,2824.5291132605616,20.302437764836323,6524.896359141443,104.82634278767611,6420.070016353767
3,88.45005207746273,True,29.55,380.5212693214417,121.66369607946925,2801.069678473615,20.987188636732444,6767.9270063952445,108.77652693928803,6659.150479455957
4,87.58966820692295,True,29.55,199.46100664138797,127.07989708322783,2813.146009878837,21.00732350111514,6736.752825848946,125.88271874457095,6610.870107104374
5,87.84993106038196,True,29.55,195.59224319458008,123.82830263464515,2735.886191933646,20.855658580117268,6762.911122584215,110.68239690751737,6652.228725676698
6,87.57712476659432,True,29.55,195.9398341178894,127.40606967419072,2842.2270760649208,20.693618274389586,6621.576246524959,115.27725065853166,6506.2989958664275
7,87.25904846406834,True,29.55,193.3210122585297,124.04596502080196,2731.841678004389,22.22419122599146,7159.930186186231,122.6229147342531,7037.3072714519785
8,88.26115518559189,True,29.55,209.91939067840576,121.50545974183204,2845.1465098780254,22.31068788786778,7191.1042598087015,120.7180342550341,7070.386225553668
9,87.6322041110994,True,29.55,224.9038999080658,127.52576440078032,2829.0268064607403,20.453327899627297,6554.521663568054,116.9484338022993,6437.573229765754
10,87.62999584316748,True,29.55,205.7955515384674,122.38831899579009,2774.2285525396624,22.731695104675754,7316.558426532224,125.66245644008131,7190.895970092142
11,87.44696989104426,True,29.55,195.06098413467407,125.13473009175792,2775.1624513378288,20.767417464186185,6646.919466663688,121.70381521178,6525.215651451907
12,87.78572111795727,True,29.55,323.859815120697,126.30121074505738,2807.652220943621,21.88105286409157,7061.150570107289,122.09548513836785,6939.055084968922
13,88.01119121418344,True,29.55,197.30072331428528,121.03202093191054,2757.6214753688705,20.17730906509491,6467.347516475445,103.38174893764142,6363.965767537804
14,88.04443106660179,True,29.55,195.4373250007629,120.35471626808466,2762.8142404056384,20.01673218039421,6430.932433098731,106.26176315347014,6324.670669945261
15,87.29967314270493,True,29.55,190.99575209617612,126.47992930613272,2713.4381667930897,21.91677401986048,7161.542821548315,138.29266192544316,7023.250159622872
16,87.1779222418073,True,29.55,187.9363362789154,123.25206283800084,2793.062608104849,22.971167189606977,7328.891086607062,121.55563754590287,7207.335449061159
17,88.33190018681879,True,29.55,290.0726110935211,120.08466786560668,2754.301237581953,21.58000917975249,7034.910608477842,118.83340076395763,6916.0772077138845
18,87.27182806274111,True,29.55,181.81641674041748,121.33137006139974,2746.0653781124893,22.533514914340795,7248.208189400737,121.75301323298147,7126.455176167756
19,87.55631683499726,True,29.55,180.75474405288696,127.81195589903298,2816.0963548448904,21.654108422446164,6974.9586451150535,127.81772582172374,6847.14091929333
20,87.34823520970136,True,29.55,190.3792531490326,125.7150023477459,2789.301015009362,21.288546992646403,6784.648026961961,117.69060503894899,6666.957421923012
21,86.72847801292475,True,29.55,190.22279405593872,126.75509254352254,2722.6445189692845,22.14347638935188,7138.856073628274,129.97164198689435,7008.88443164138
22,88.23854478304595,True,29.55,190.45769882202148,124.3293336380224,2781.826408399997,21.7446420599342,7071.724585641072,115.83334311248632,6955.891242528585
23,87.076158972472,True,29.55,210.12901496887207,124.91754475713456,2708.480249509687,20.596918216543205,6620.828899604096,123.21106026513961,6497.617839338956
24,87.93065722350698,True,29.55,198.41762137413025,122.5502086962047,2833.9270766359023,22.459147135627536,7199.849116342075,116.63317076589546,7083.215945576179
25,87.93700349540602,True,29.55,199.27600693702695,120.57242584712849,2718.830302570673,20.294169725831093,6555.691362636231,116.69860913307416,6438.992753503157
26,86.4245208104224,True,29.55,204.9542384147644,125.5249642954608,2703.5320312111667,21.43380834852731,6843.650143825146,126.5381144219124,6717.1120294032335
28,86.50940603369911,True,29.55,191.3492703437805,126.02496350361598,2740.92989807667,22.68330270800923,7224.625634430147,128.9014719036664,7095.7241625264805
29,88.22130336221893,True,29.55,182.3686797618866,123.1939434471643,2839.5497606961217,22.02776406494036,7081.644625929477,114.94691532625798,6966.697710603219
30,87.59400609868975,True,29.55,184.0438814163208,124.67683273859964,2729.193641104832,21.149895522489665,6838.602131256721,123.5565697145014,6715.04556154222
